title,artist,genre,moods,release_date,version,download_url,cover_url
Echoes,"criticaleye, SHIRO, dolshi",Witch House,"Witch House, dark, energetic, relaxed",31 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/939/echoes-1753920071-ifL816qHm9.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/939/100x100/echoes-1753920069-8AaZyYITqf.png
digital death,Kim,Witch House,"Witch House, dramatic, majestic, energetic",29 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/938/digital-death-1753747264-AO6BW8pMLN.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/938/100x100/digital-death-1753747262-shgPd7e2QJ.png
Overheat,Cartoon,Drum & Bass,"Drum & Bass, dark, energetic",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/933/overheat-1753401663-XiLNKZXuMQ.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/933/100x100/overheat-1753401661-jCw57CrERF.jpg
Do It All,Cartoon,Drum & Bass,"Drum & Bass, dark, energetic",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/934/do-it-all-1753401672-mqUmgLQl39.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/934/100x100/do-it-all-1753401670-NWheLbYfQb.jpg
Whiplash,Cartoon,Drum & Bass,"Drum & Bass, energetic, exciting, powerful",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/935/whiplash-1753401678-PIShhKSwKc.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/935/100x100/whiplash-1753401676-JTecfK3BPO.jpg
Spicy,Cartoon,Dubstep,"Dubstep, energetic, exciting, dramatic",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/936/spicy-1753401685-iT8S1vbWcj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/936/100x100/spicy-1753401683-lCxhgFEIkO.jpg
Dependant,Cartoon,Drum & Bass,"Drum & Bass, dramatic, powerful, positive",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/937/dependant-1753401691-ERQ9HipO4q.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/937/100x100/dependant-1753401689-szCyQtIzQf.jpg
Sky Verse,"Lieless, Luuna, Yarimov",Brazilian Phonk,"Brazilian Phonk, exciting",24 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/932/sky-verse-1753315264-yJlMg65j6p.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/932/100x100/sky-verse-1753315261-E7DGvky63q.jpg
Her Body,"QKReign, DMHP_SKN",Jersey Club,"Jersey Club, energetic, exciting",22 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/930/her-body-1753142465-rCKeoztiLi.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/930/100x100/her-body-1753142463-mLaEHq78ih.png
soulforge,"dezoliar, glossier, TWISTED",Witch House,"Witch House, dark, energetic, majestic",22 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/931/soulforge-1753142469-k8MlCPfbNw.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/931/100x100/soulforge-1753142468-Y3LABgMgp6.jpg
